,cut,color,clarity,carat_weight,cut_quality,lab,symmetry,polish,eye_clean,culet_size,culet_condition,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,fluor_color,fluor_intensity,fancy_color_dominant_color,fancy_color_secondary_color,fancy_color_overtone,fancy_color_intensity,total_sales_price
81,Round,L,SI1,0.3,Excellent,IGI,Excellent,Excellent,unknown,unknown,unknown,0.6,0.57,4.3,4.34,2.65,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,252
82,Round,H,VVS2,0.12,Excellent,IGI,Very Good,Very Good,unknown,unknown,unknown,60.7,58,3.26,3.28,1.99,M,M,unknown,None,unknown,unknown,unknown,unknown,256
83,Round,M,SI1,0.31,Excellent,IGI,Excellent,Excellent,unknown,unknown,unknown,0.6,0.57,4.32,4.34,2.67,unknown,unknown,unknown,Very Slight,unknown,unknown,unknown,unknown,256
84,Round,K,SI2,0.3,Very Good,IGI,Very Good,Excellent,unknown,unknown,unknown,0.6,0.57,4.19,4.23,2.65,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,258
85,Round,H,VVS2,0.12,Excellent,IGI,Very Good,Very Good,unknown,N,unknown,60.4,56.5,3.25,3.26,1.97,TN,TN,unknown,Very Slight,unknown,unknown,unknown,unknown,260
86,Round,D,VVS2,0.11,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,60.4,59,3.08,3.09,1.86,VTN,M,unknown,None,unknown,unknown,unknown,unknown,260
87,Round,K,I1,0.31,Excellent,IGI,Very Good,Very Good,unknown,unknown,unknown,0,0,4.21,4.24,2.75,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,262
88,Round,I,VVS2,0.12,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,58.1,62,3.31,3.35,1.93,TN,M,unknown,Very Slight,unknown,unknown,unknown,unknown,262
89,Round,F,VS1,0.12,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,59.6,61.5,3.17,3.19,1.9,M,M,unknown,Very Slight,unknown,unknown,unknown,unknown,262
90,Round,E,SI1,0.12,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,62,59,3.15,3.16,1.96,M,STK,unknown,None,unknown,unknown,unknown,unknown,262
91,Round,F,VS1,0.12,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,61.5,58.5,3.19,3.2,1.97,M,M,unknown,None,unknown,unknown,unknown,unknown,262
92,Oval,K,VS2,0.3,unknown,GIA,Very Good,Excellent,unknown,unknown,unknown,56.2,57,5.89,3.75,2.11,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,262
93,Marquise,M,SI2,0.3,unknown,GIA,Very Good,Very Good,Yes,N,unknown,66.4,56,7.07,3.36,2.23,TN,VTK,unknown,None,unknown,unknown,unknown,unknown,264
94,Round,M,SI2,0.3,Very Good,GIA,Very Good,Excellent,unknown,N,unknown,64,57,4.16,4.2,2.68,STK,TK,unknown,Faint,unknown,unknown,unknown,unknown,264
95,Round,L,I2,0.31,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,61.7,59,4.34,4.37,2.69,M,STK,unknown,None,unknown,unknown,unknown,unknown,264
96,Round,D,VVS2,0.13,Excellent,IGI,Very Good,Excellent,unknown,unknown,unknown,0,0,0,0,0,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,266
97,Round,G,VVS2,0.12,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,63.8,57.5,3.12,3.17,2.01,STK,TK,unknown,Very Slight,unknown,unknown,unknown,unknown,266
